Area Code (M49),Area,Year,scenario,livestock_value_usd,enteric_manure_cost_usd,land_opportunity_cost_usd,nitrogen_cost_usd,total_external_cost_usd,net_welfare_usd,loss_intensity,cost_intensity
450,Madagascar,2022,mid,128286000.0,706409230.0000001,19241500000.0,-67278178.77000003,19880631051.23,-19752345051.23,153.97116638783655,154.97116638783655
148,Chad,2022,mid,241769000.0,6175163950.0,23380770000.0,306474988.71000004,29862408938.71,-29620639938.71,122.51628595357552,123.51628595357552
398,Kazakhstan,2022,mid,1434279000.0,1614394110.0000002,97149280500.0,-1488164118.2099998,97275510491.79,-95841231491.79,66.82188855291753,67.82188855291753
466,Mali,2022,mid,352491000.0,2313358990.0,18744842996.5,-423882760.95,20634319225.55,-20281828225.55,57.53857041896105,58.53857041896105
36,Australia,2022,mid,3228412000.0,6411146590.0,171156750000.0,625478734.3199996,178193375324.32,-174964963324.32,54.19536395116857,55.19536395116857
562,Niger,2022,mid,369027000.0,2583581020.0000005,17330821500.0,-642262358.4300001,19272140161.57,-18903113161.57,51.22420083508795,52.22420083508795
384,Côte d'Ivoire,2022,mid,189396000.0,298309470.0,8818350997.5,-383000838.3300001,8733659629.17,-8544263629.17,45.1132211301717,46.1132211301717
68,Bolivia (Plurinational State of),2022,mid,442368000.0,2245355129.9999995,17459540818.5,363789363.9599998,20068685312.46,-19626317312.46,44.36649421400282,45.36649421400282
716,Zimbabwe,2022,mid,197869000.0,664923620.0,6721458326.000001,99317187.74999996,7485699133.750001,-7287830133.750001,36.83159127377205,37.83159127377205
834,United Republic of Tanzania,2022,mid,580886000.0,4200673900.0,14560998000.0,-83680949.54999986,18677990950.45,-18097104950.45,31.154314186346376,32.154314186346376
566,Nigeria,2022,mid,815650000.0,4270636810.0,19848546659.500004,-1595511699.5400004,22523671769.960003,-21708021769.960003,26.614383338392695,27.614383338392695
686,Senegal,2022,mid,152835000.0,643864120.0,3445315000.0,109662801.93,4198841921.93,-4046006921.93,26.473039041646217,27.473039041646217
682,Saudi Arabia,2022,mid,3171281000.0,773899270.0,85600173805.0,517671770.55,86891744845.55,-83720463845.55,26.3995728683614,27.3995728683614
710,South Africa,2022,mid,2019463000.0,1583793050.0,44012145000.0,470429681.6999998,46066367731.7,-44046904731.7,21.81119670511418,22.81119670511418
795,Turkmenistan,2022,mid,959891000.0,773675120.0,19245733000.0,1321290235.65,21340698355.65,-20380807355.65,21.232418426310904,22.232418426310904
454,Malawi,2022,mid,113644000.0,510876630.00000006,1618000000.0,376399565.5199999,2505276195.52,-2391632195.52,21.04494909999648,22.04494909999648
887,Yemen,2022,mid,536830000.0,578817450.0000001,11239580000.0,-18462996.090000004,11799934453.91,-11263104453.91,20.9807657059218,21.9807657059218
324,Guinea,2022,mid,362737000.0,997224720.0,6501582602.5,215102326.56,7713909649.06,-7351172649.06,20.26584729172927,21.26584729172927
232,Eritrea,2022,mid,186705000.0,341586570.0,3564180000.0,14771222.730000004,3920537792.73,-3733832792.73,19.998568826383867,20.998568826383867
854,Burkina Faso,2022,mid,276204000.0,1374206190.0,4418420635.5,-167135169.29999998,5625491656.2,-5349287656.2,19.36716215623235,20.36716215623235
600,Paraguay,2022,mid,781477000.0,2207831629.9999995,9158176015.0,712051595.97,12078059240.97,-11296582240.97,14.455425100124508,15.455425100124508
894,Zambia,2022,mid,812984000.0,530828980.00000006,10633435000.0,418545055.1700001,11582809035.17,-10769825035.17,13.247277972469323,14.247277972469323
504,Morocco,2022,mid,1080617000.0,829688090.0,11881150831.5,241298162.82,12952137084.32,-11871520084.32,10.985872038215204,11.985872038215204
120,Cameroon,2022,mid,262426000.0,739503680.0,2299525859.5000005,-40055651.78999999,2998973887.7100005,-2736547887.7100005,10.427884004290735,11.427884004290735
12,Algeria,2022,mid,1645069000.0,801695390.0,17809201000.0,-184728506.82,18426167883.18,-16781098883.18,10.200848039310205,11.200848039310205
368,Iraq,2022,mid,336473000.0,412694310.0,2895000500.0,373196557.8000001,3680891367.8,-3344418367.8,9.939633693639609,10.939633693639609
32,Argentina,2022,mid,5167125000.0,9061183860.0,44628055000.0,2688007010.039999,56377245870.04,-51210120870.04,9.910757117360234,10.910757117360234
858,Uruguay,2022,mid,856854000.0,1998362250.0,6355490025.0,685390960.65,9039243235.65,-8182389235.65,9.54933890213502,10.54933890213502
352,Iceland,2022,mid,106617000.0,32875020.0,895465000.0,37565674.08,965905694.08,-859288694.08,8.059584250916833,9.059584250916833
231,Ethiopia,2022,mid,2478175000.0,8354137159.999999,13045393945.0,118693996.74000008,21518225101.74,-19040050101.74,7.683093446483804,8.683093446483804
417,Kyrgyzstan,2022,mid,643020000.0,457010140.00000006,4722662000.0,61184229.48000003,5240856369.4800005,-4597836369.4800005,7.150378478865355,8.150378478865354
604,Peru,2022,mid,1627943000.0,1784771000.0,10116236269.999998,673271248.6500001,12574278518.649998,-10946335518.649998,6.724028739734743,7.724028739734743
76,Brazil,2022,mid,20864975000.0,40013414800.0,97141070000.0,18478721785.590004,155633206585.59,-134768231585.59,6.4590650880525855,7.4590650880525855
170,Colombia,2022,mid,3758864000.0,5258079290.0,19245695000.0,1368946132.9500003,25872720422.95,-22113856422.95,5.883122247293332,6.883122247293332
768,Togo,2022,mid,204425000.0,177041440.0,965300000.0,132093682.71,1274435122.71,-1070010122.71,5.234242987452611,6.234242987452611
159,China,2022,mid,51062670000.0,28008663150.0,217596895000.0,54810767501.82001,300416325651.82,-249353655651.82,4.883286668163259,5.883286668163259
156,"China, mainland",2022,mid,51061498000.0,27857991100.0,217467200000.0,53769681295.11,299094872395.11,-248033374395.11,4.857542064181313,5.857542064181313
484,Mexico,2022,mid,8841687000.0,7052710850.0,41134402389.0,1130154518.4600005,49317267757.46,-40475580757.46,4.577811989664416,5.577811989664416
404,Kenya,2022,mid,2795379000.0,3317910440.0,11878182169.5,88767876.78000005,15284860486.28,-12489481486.28,4.467902737439181,5.467902737439181
646,Rwanda,2022,mid,118744000.0,183620900.0,455123804.5,7213092.809999996,645957797.31,-527213797.30999994,4.439919468015225,5.439919468015225
762,Tajikistan,2022,mid,428845000.0,581756320.0,1586936500.0,116318264.04,2285011084.04,-1856166084.04,4.328291303477947,5.328291303477947
498,Republic of Moldova,2022,mid,112138000.0,56659750.0,520775000.0,12455228.279999988,589889978.28,-477751978.28,4.260393250102552,5.260393250102552
788,Tunisia,2022,mid,687542000.0,230040310.0,3191832500.0,161673683.82000002,3583546493.82,-2896004493.82,4.212112851025829,5.212112851025829
764,Thailand,2022,mid,1611040000.0,1128375880.0,3960040000.0,3266387229.2700005,8354803109.27,-6743763109.27,4.185968758857633,5.185968758857633
152,Chile,2022,mid,1133984000.0,588778049.9999999,4697672746.5,379222763.37000006,5665673559.87,-4531689559.87,3.9962552909653044,4.996255290965305
364,Iran (Islamic Republic of),2022,mid,4487738000.0,1977043969.9999995,17640850000.0,2443743306.18,22061637276.18,-17573899276.18,3.9159815649175598,4.91598156491756
524,Nepal,2022,mid,645510000.0,1815188800.0,1219268000.0,111522200.12999997,3145979000.13,-2500469000.13,3.8736332514291028,4.873633251429102
340,Honduras,2022,mid,423341000.0,513568759.99999994,1245970000.0,265249710.66000003,2024788470.66,-1601447470.66,3.7828782722675105,4.78287827226751
591,Panama,2022,mid,256698000.0,263551320.00000003,867513582.0,95004325.02,1226069227.02,-969371227.02,3.7763100102844587,4.776310010284459
558,Nicaragua,2022,mid,694542000.0,948783790.0,1942835000.0,150413748.21,3042032538.21,-2347490538.21,3.3799115650457425,4.3799115650457425
268,Georgia,2022,mid,295144000.0,126514980.0,1043243500.0,109198815.0,1278957295.0,-983813295.0,3.3333332034532295,4.33333320345323
807,North Macedonia,2022,mid,135051000.0,75156260.0,475740000.0,29898655.71,580794915.71,-445743915.71000004,3.3005599048507603,4.30055990485076
643,Russian Federation,2022,mid,16171814000.0,5439413450.0,66393930000.0,-5710564199.339999,66122779250.66,-49950965250.66,3.0887669899406465,4.0887669899406465
840,United States of America,2022,mid,54701048000.0,21580483310.000004,158934251791.5,15363606072.21,195878341173.71,-141177293173.71,2.5808882706179594,3.5808882706179594
124,Canada,2022,mid,7095642000.0,2776721180.0000005,15635305000.0,3975523239.930001,22387549419.93,-15291907419.93,2.1551125916344147,3.1551125916344147
70,Bosnia and Herzegovina,2022,mid,218813000.0,136367040.0,402415000.0,115374655.44,654156695.44,-435343695.44000006,1.9895696116775514,2.989569611677551
586,Pakistan,2022,mid,11869911000.0,15470621610.0,7606255000.0,11227119392.280005,34303996002.280006,-22434085002.280006,1.8899960582922657,2.8899960582922657
688,Serbia,2022,mid,583780000.0,353078690.00000006,794155000.0,514494651.99,1661728341.99,-1077948341.99,1.8464975538559045,2.8464975538559045
144,Sri Lanka,2022,mid,341549000.0,191247870.00000003,611380000.0,122962502.85000002,925590372.85,-584041372.85,1.7099782837894417,2.7099782837894417
51,Armenia,2022,mid,309179000.0,75546560.0,668648450.0,55154324.94,799349334.94,-490170334.94000006,1.585393364167683,2.585393364167683
804,Ukraine,2022,mid,2475127000.0,943506800.0,9340205000.0,-3909715307.519999,6373996492.480001,-3898869492.4800014,1.5752199755729712,2.575219975572971
608,Philippines,2022,mid,1677684000.0,1187308710.0,2588133000.0,513958881.48,4289400591.48,-2611716591.48,1.5567392855150315,2.5567392855150315
218,Ecuador,2022,mid,1245797000.0,703931719.9999999,1889600000.0,453039262.17,3046570982.17,-1800773982.17,1.4454794658921157,2.4454794658921157
356,India,2022,mid,57930586000.0,44245285950.0,32920836644.500004,48210469860.3,125376592454.8,-67446006454.8,1.1642555532719798,2.1642555532719796
188,Costa Rica,2022,mid,574114000.0,339962320.0,663809854.0000001,238243835.9400001,1242016009.9400003,-667902009.9400003,1.1633613009611337,2.163361300961134
704,Viet Nam,2022,mid,3735451000.0,2011272060.0,2247045000.0,3720631656.72,7978948716.719999,-4243497716.7199993,1.1360067945530539,2.1360067945530536
214,Dominican Republic,2022,mid,678040000.0,588311910.0,819728501.0000001,-17646404.160000004,1390394006.84,-712354006.8399999,1.0506076438558196,2.0506076438558196
360,Indonesia,2022,mid,10925267000.0,4163415970.000001,12743183431.000002,5475988606.440001,22382588007.440002,-11457321007.440002,1.0486994054644159,2.048699405464416
50,Bangladesh,2022,mid,4860854000.0,3590221050.0,1756455000.0,3802373454.33,9149049504.33,-4288195504.33,0.8821897354518362,1.8821897354518362
112,Belarus,2022,mid,2662271000.0,1081159410.0,2138840000.0,1312426821.42,4532426231.42,-1870155231.42,0.7024661394050418,1.7024661394050418
826,United Kingdom of Great Britain and Northern Ireland,2022,mid,6945725000.0,3232564140.0,6669028581.999999,1703130143.88,11604722865.880001,-4658997865.880001,0.6707720023294906,1.6707720023294905
31,Azerbaijan,2022,mid,1192996000.0,419679920.0,1597807500.0,-112031589.78000002,1905455830.22,-712459830.22,0.5972021953300766,1.5972021953300766
222,El Salvador,2022,mid,331466000.0,148924949.99999997,302715000.0,39063130.919999994,490703080.92,-159237080.92000002,0.48040245732593995,1.48040245732594
422,Lebanon,2022,mid,209659000.0,29860359.999999996,245620025.0,28155065.4,303635450.4,-93976450.39999998,0.44823475452997474,1.4482347545299747
458,Malaysia,2022,mid,1319483000.0,201516240.0,1509576150.0,179583965.88000005,1890676355.88,-571193355.8800001,0.4328917885868936,1.4328917885868937
792,Türkiye,2022,mid,10681181000.0,2701201120.0,11249195000.0,1039054838.9099998,14989450958.91,-4308269958.91,0.4033514607523269,1.403351460752327
8,Albania,2022,mid,472686000.0,170477530.0,337856000.0,89877413.34000003,598210943.34,-125524943.34000003,0.2655567191327859,1.265556719132786
400,Jordan,2022,mid,439908000.0,68342330.0,420588159.5,65590818.48000001,554521307.98,-114613307.98000002,0.26053926725588084,1.2605392672558808
554,New Zealand,2022,mid,7790794000.0,2974803340.0,4670825000.0,23672527.56000001,7669300867.56,121493132.43999958,-0.01559444806780921,0.9844055519321908
410,Republic of Korea,2022,mid,2472356000.0,780984370.0,280120000.0,815049845.61,1876154215.6100001,596201784.3899999,-0.2411472232922766,0.7588527767077233
578,Norway,2022,mid,1176705000.0,294733690.00000006,221655000.0,355395029.88,871783719.8800001,304921280.1199999,-0.2591314561593602,0.7408685438406398
630,Puerto Rico,2022,mid,222928000.0,36991170.0,62273000.0,12819883.890000002,112084053.89,110843946.11,-0.49721859124919254,0.5027814087508075
756,Switzerland,2022,mid,2798599000.0,456069350.0,606886812.5,168696468.6,1231652631.1,1566946368.9,-0.5599038550717699,0.4400961449282301
376,Israel,2022,mid,1080294000.0,76397090.0,143149000.0,93306103.11000004,312852193.11,767441806.89,-0.7104008787330116,0.28959912126698845
392,Japan,2022,mid,11792474000.0,833211180.0000001,868625000.0,676855734.72,2378691914.7200003,9413782085.279999,-0.7982872877464049,0.201712712253595
