scenario,Year,N_surplus_total_tonnesN,N_livestock_tonnesN,nitrogen_cost_usd
high,2000,78481749.84109999,25898977.447563,517979548951.26
high,2001,77757291.9248,25659906.335184,513198126703.68
high,2002,84037773.2177,27732465.161841,554649303236.8201
high,2003,86391341.6583,28509142.747239,570182854944.78
high,2004,84429855.348,27861852.264840003,557237045296.8
high,2005,86206235.15,28448057.5995,568961151990.0
high,2006,89760501.9638,29620965.648054,592419312961.08
high,2007,90414594.427,29836816.16091,596736323218.2001
high,2008,84290138.54089999,27815745.718497,556314914369.9401
high,2009,90904628.5848,29998527.432984002,599970548659.68
high,2010,93802990.0943,30954986.731119003,619099734622.38
high,2011,92724435.22330001,30599063.623689003,611981272473.78
high,2012,94480182.256,31178460.14448,623569202889.6
high,2013,91873114.0232,30318127.627656,606362552553.12
high,2014,89117336.171,29408720.936430003,588174418728.6
high,2015,87995915.0812,29038651.976796,580773039535.92
high,2016,86943923.84889999,28691494.870137,573829897402.74
high,2017,84580385.8027,27911527.314891,558230546297.82
high,2018,82622012.23650001,27265264.038045,545305280760.9
high,2019,78403231.9375,25873066.539375,517461330787.50006
high,2020,83630580.6682,27598091.620506,551961832410.12
high,2021,79071868.6688,26093716.660704,521874333214.08
high,2022,76764584.4794,25332312.878202002,506646257564.04004
low,2000,78481749.84109999,25898977.447563,129494887237.815
low,2001,77757291.9248,25659906.335184,128299531675.92
low,2002,84037773.2177,27732465.161841,138662325809.20502
low,2003,86391341.6583,28509142.747239,142545713736.195
low,2004,84429855.348,27861852.264840003,139309261324.2
low,2005,86206235.15,28448057.5995,142240287997.5
low,2006,89760501.9638,29620965.648054,148104828240.27
low,2007,90414594.427,29836816.16091,149184080804.55002
low,2008,84290138.54089999,27815745.718497,139078728592.48502
low,2009,90904628.5848,29998527.432984002,149992637164.92
low,2010,93802990.0943,30954986.731119003,154774933655.595
low,2011,92724435.22330001,30599063.623689003,152995318118.445
low,2012,94480182.256,31178460.14448,155892300722.4
low,2013,91873114.0232,30318127.627656,151590638138.28
low,2014,89117336.171,29408720.936430003,147043604682.15
low,2015,87995915.0812,29038651.976796,145193259883.98
low,2016,86943923.84889999,28691494.870137,143457474350.685
low,2017,84580385.8027,27911527.314891,139557636574.455
low,2018,82622012.23650001,27265264.038045,136326320190.225
low,2019,78403231.9375,25873066.539375,129365332696.87502
low,2020,83630580.6682,27598091.620506,137990458102.53
low,2021,79071868.6688,26093716.660704,130468583303.52
low,2022,76764584.4794,25332312.878202002,126661564391.01001
mid,2000,78481749.84109999,25898977.447563,258989774475.63
mid,2001,77757291.9248,25659906.335184,256599063351.84
mid,2002,84037773.2177,27732465.161841,277324651618.41003
mid,2003,86391341.6583,28509142.747239,285091427472.39
mid,2004,84429855.348,27861852.264840003,278618522648.4
mid,2005,86206235.15,28448057.5995,284480575995.0
mid,2006,89760501.9638,29620965.648054,296209656480.54
mid,2007,90414594.427,29836816.16091,298368161609.10004
mid,2008,84290138.54089999,27815745.718497,278157457184.97003
mid,2009,90904628.5848,29998527.432984002,299985274329.84
mid,2010,93802990.0943,30954986.731119003,309549867311.19
mid,2011,92724435.22330001,30599063.623689003,305990636236.89
mid,2012,94480182.256,31178460.14448,311784601444.8
mid,2013,91873114.0232,30318127.627656,303181276276.56
mid,2014,89117336.171,29408720.936430003,294087209364.3
mid,2015,87995915.0812,29038651.976796,290386519767.96
mid,2016,86943923.84889999,28691494.870137,286914948701.37
mid,2017,84580385.8027,27911527.314891,279115273148.91
mid,2018,82622012.23650001,27265264.038045,272652640380.45
mid,2019,78403231.9375,25873066.539375,258730665393.75003
mid,2020,83630580.6682,27598091.620506,275980916205.06
mid,2021,79071868.6688,26093716.660704,260937166607.04
mid,2022,76764584.4794,25332312.878202002,253323128782.02002
